Date,Open*,High,Low,Close,Volume,Market Cap
"Mar 23, 2021",$29.31,$30.84,$28.35,$28.59,"$245,730,628","$3,653,358,605"
"Mar 24, 2021",$28.55,$30.40,$25.10,$26.05,"$292,191,840","$3,329,551,119"
"Mar 25, 2021",$25.98,$27.46,$24.64,$26.00,"$252,605,201","$3,322,963,744"
"Mar 26, 2021",$25.95,$28.88,$25.91,$28.24,"$232,181,872","$3,609,557,165"
"Mar 27, 2021",$28.24,$28.61,$26.88,$27.63,"$175,964,471","$3,532,272,875"
"Mar 28, 2021",$27.62,$29.49,$27.25,$28.70,"$222,965,831","$3,668,576,527"
"Mar 29, 2021",$28.71,$30.25,$28.26,$29.47,"$219,894,708","$3,769,408,496"
"Mar 30, 2021",$29.48,$30.78,$28.94,$29.63,"$221,168,524","$3,790,034,964"
"Mar 31, 2021",$29.62,$29.89,$26.70,$28.73,"$221,774,579","$3,676,426,976"
"Apr 01, 2021",$28.73,$29.30,$27.99,$28.42,"$172,089,242","$3,637,644,692"
"Apr 02, 2021",$28.33,$29.57,$28.04,$29.12,"$167,497,181","$3,727,678,493"
"Apr 03, 2021",$29.08,$32.78,$28.20,$28.25,"$424,655,897","$3,616,902,241"
"Apr 04, 2021",$28.30,$30.09,$27.92,$29.33,"$185,849,450","$3,755,051,237"
"Apr 05, 2021",$29.31,$32.98,$28.74,$31.25,"$447,418,402","$4,000,699,823"
"Apr 06, 2021",$31.28,$34.55,$30.20,$31.55,"$453,065,493","$4,040,390,424"
"Apr 07, 2021",$31.52,$32.70,$28.70,$29.48,"$337,039,411","$3,774,411,457"
"Apr 08, 2021",$29.58,$31.36,$29.31,$30.76,"$177,272,348","$3,939,489,658"
"Apr 09, 2021",$30.76,$32.42,$30.41,$31.53,"$289,110,798","$4,038,818,686"
"Apr 10, 2021",$31.54,$33.94,$30.88,$31.80,"$377,650,235","$4,083,942,002"
"Apr 11, 2021",$31.80,$32.37,$30.94,$31.60,"$211,605,192","$4,062,600,654"
"Apr 12, 2021",$31.67,$35.65,$31.31,$33.88,"$485,683,846","$4,356,044,336"
"Apr 13, 2021",$33.80,$34.81,$31.75,$33.67,"$380,251,185","$4,329,298,666"
"Apr 14, 2021",$33.64,$39.38,$32.98,$38.46,"$975,987,632","$4,945,637,008"
