Date,Open*,High,Low,Close,Volume,Market Cap,
12-May-2021,$0.09,$0.09,$0.07,$0.073620,"$45,976,948","$265,296,436",-48.01%
13-May-2021,$0.07,$0.08,$0.07,$0.075620,"$50,126,526","$272,541,054",-44.44%
14-May-2021,$0.08,$0.09,$0.08,$0.080900,"$36,111,475","$291,898,229",-38.39%
15-May-2021,$0.08,$0.08,$0.07,$0.073120,"$31,884,617","$263,844,739",-45.84%
16-May-2021,$0.07,$0.09,$0.07,$0.074800,"$42,119,124","$269,980,114",-40.02%
17-May-2021,$0.08,$0.08,$0.06,$0.066620,"$40,924,001","$240,448,176",-46.49%
18-May-2021,$0.07,$0.07,$0.07,$0.070350,"$37,237,102","$253,938,296",-34.38%
19-May-2021,$0.07,$0.07,$0.03,$0.041080,"$63,908,154","$148,304,510",-57.48%
20-May-2021,$0.04,$0.05,$0.04,$0.047990,"$41,437,956","$173,237,859",-51.53%
21-May-2021,$0.05,$0.05,$0.03,$0.040180,"$33,890,533","$145,056,738",-56.33%
22-May-2021,$0.04,$0.05,$0.03,$0.052700,"$106,516,240","$190,309,167",-41.83%
23-May-2021,$0.05,$0.05,$0.03,$0.038870,"$65,364,286","$140,632,528",-51.89%
24-May-2021,$0.04,$0.05,$0.04,$0.044970,"$46,967,811","$162,900,952",-39.07%
25-May-2021,$0.04,$0.05,$0.04,$0.043750,"$32,287,139","$158,506,107",-40.97%
26-May-2021,$0.04,$0.05,$0.04,$0.049290,"$32,272,091","$178,602,270",-43.42%
27-May-2021,$0.05,$0.05,$0.04,$0.050450,"$36,668,830","$182,838,022",-44.33%
28-May-2021,$0.05,$0.05,$0.04,$0.042630,"$34,365,783","$154,490,386",-53.62%
29-May-2021,$0.04,$0.04,$0.04,$0.039320,"$19,555,280","$142,499,025",-61.49%
30-May-2021,$0.04,$0.04,$0.04,$0.040600,"$16,016,636","$147,140,076",-61.77%
31-May-2021,$0.04,$0.04,$0.04,$0.043620,"$17,199,499","$158,121,682",-61.57%
1-Jun-2021,$0.04,$0.04,$0.04,$0.042700,"$18,780,888","$154,791,043",-65.54%
2-Jun-2021,$0.04,$0.05,$0.04,$0.046220,"$21,622,678","$169,328,171",-62.36%
3-Jun-2021,$0.05,$0.05,$0.04,$0.049230,"$28,730,056","$180,325,491",-53.16%
4-Jun-2021,$0.05,$0.05,$0.04,$0.043450,"$24,165,808","$159,192,946",-60.71%
5-Jun-2021,$0.04,$0.05,$0.04,$0.041320,"$16,274,917","$151,422,663",-59.84%
6-Jun-2021,$0.04,$0.04,$0.04,$0.041740,"$11,483,508","$152,958,842",-58.13%
7-Jun-2021,$0.04,$0.04,$0.04,$0.038330,"$16,240,502","$140,480,915",-61.97%
8-Jun-2021,$0.04,$0.04,$0.03,$0.036440,"$19,536,530","$133,605,075",-63.27%
9-Jun-2021,$0.04,$0.04,$0.03,$0.039320,"$19,014,663","$144,299,415",-54.40%
